id,批次,清单类型,备案月份,算法名称,算法类别_原始,算法类别_LLM,企业角色,企业名称,应用产品,主要用途,发放日期,注册资本_万元,省份,城市,县区,行业一级,行业二级,行业三级,经度,纬度,技术代际
1,第一批,深度合成,2023-06,大麦小蜜智能客服算法,深度合成,人机对话,服务提供者,北京大麦文化传媒发展有限公司,大麦（APP）,应用于在线智能客服场景，根据用户咨询内容，生成文本或语音智能回答。,2022-08-12,3000,北京市,北京市,东城区,租赁和商务服务业,商务服务业,旅行社及相关服务,116.436787,39.937210,G4
2,第一批,深度合成,2023-06,DraftAi绘图生成合成算法-1,深度合成,内容生成,服务提供者,图形起源（北京）科技有限公司,Draft（网站）,应用于图像生成场景，使用文本条件图像生成模型，生成与输入文本语义一致的图像。,2022-08-12,170,北京市,北京市,石景山区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.308433,39.979765,G4
3,第一批,深度合成,2023-06,智谱ChatGLM生成算法,深度合成,内容生成,服务提供者,北京智谱华章科技有限公司,写作蛙（网站）、ChatGLM（网站）、写作蛙（小程序）,应用于对话生成场景，根据用户输入的文本内容，应用对话模型，生成对话文本回复。,2022-08-12,3622,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.330304,39.993942,G4
4,第一批,深度合成,2023-06,美团电话智能客服算法,深度合成,人机对话,服务提供者,北京三快科技有限公司,美团（APP）,应用于电话智能客服场景，生成用户问题的语音智能回答。,2022-08-12,548,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.316310,39.977680,G3
5,第一批,深度合成,2023-06,美团在线智能客服算法,深度合成,人机对话,服务提供者,北京三快科技有限公司,美团（APP）,应用于电话智能客服场景，生成用户问题的文本智能回答。,2022-08-12,548,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.316310,39.977680,G3
6,第一批,深度合成,2023-06,快手短视频生成合成算法,深度合成,内容生成,服务提供者,北京快手科技有限公司,快手（APP）,应用于短视频制作场景，利用生成模型对用户上传图片、视频进行属性编辑或风格转换，生成图片、视频。,2022-08-12,10101,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.299913,40.054300,G4
7,第一批,深度合成,2023-06,百度文生图内容生成算法,深度合成,内容生成,服务提供者,北京百度网讯科技有限公司,文心一言（APP）、文心一格（网站）、文心一言（网站）,应用于图像生成场景，使用图文匹配神经网络模型和扩散生成模型，实现生成与输入文本语义一致的图像。,2022-08-12,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
8,第一批,深度合成,2023-06,百度PLATO大模型算法,深度合成,人机对话,服务提供者,北京百度网讯科技有限公司,小侃星球（APP）,应用于对话生成场景，基于飞桨深度学习框架和对话语料训练的对话模型，生成开放域的文本回答。,2022-08-12,134,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.301400,40.050905,G4
9,第一批,深度合成,2023-06,剪映特效算法,深度合成,内容生成,服务提供者,北京抖音信息服务有限公司,西瓜视频（APP）、轻颜（APP）、剪映（APP）、抖音短视频（APP）等,应用于图像、视频生成场景，基于人像理解技术和视频剪辑技术实现对用户上传图片或视频的渲染处理与格式转换，生成编辑处理后图像或视频。,2022-08-12,20000,北京市,北京市,海淀区,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,116.338628,39.975197,G3
10,第一批,深度合成,2023-06,火山引擎智能美化特效算法,深度合成,内容生成,服务技术支持者,北京抖音信息服务有限公司,未回填,应用于图像生成场景，服务于图像编辑类的企业端客户，通过API提供人脸图像美颜功能。,2022-08-12,20000,北京市,北京市,海淀区,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,电影和影视节目制作,116.338628,39.975197,G3
11,第一批,深度合成,2023-06,出门问问语音合成类算法-2,深度合成,内容生成,服务技术支持者,出门问问信息科技有限公司,未回填,应用于音频生成场景，服务于音频、视频制作类的企业端客户，通过API提供文本转语音功能。,2022-08-12,1000,北京市,北京市,海淀区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,116.344950,39.946238,G4
12,第一批,深度合成,2023-06,淘票票小蜜智能客服算法,深度合成,人机对话,服务提供者,上海淘票票影视文化有限公司,淘票票（APP）,应用于在线智能客服场景，根据用户咨询内容，生成文本或语音智能回答。,2022-08-12,1000,上海市,上海市,普陀区,租赁和商务服务业,商务服务业,广告业,121.384069,31.233140,G4
13,第一批,深度合成,2023-06,1688阿牛智能客服算法,深度合成,人机对话,服务提供者,杭州阿里巴巴广告有限公司,1688工业品（APP）、阿里巴巴（APP、网站）,应用于在线智能客服场景，根据用户咨询内容，结合智能客服知识库，生成文本、图像、音频、视频等形式的回答。,2022-08-12,1000,浙江省,杭州市,滨江区,租赁和商务服务业,商务服务业,广告业,120.191092,30.189655,G3
14,第一批,深度合成,2023-06,天猫小蜜智能客服算法,深度合成,人机对话,服务提供者,浙江天猫网络有限公司,手机天猫（APP）,应用于在线智能客服场景，识别文字或语音问题，结合智能客服知识库，生成文本、图像、音频、视频等形式的回答。,2022-08-12,1000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,互联网和相关服务,互联网信息服务,120.023231,30.278950,G4
15,第一批,深度合成,2023-06,钉钉语音识别算法,深度合成,智能搜索,服务提供者,钉钉科技有限公司,钉钉（APP）,应用于即时通讯场景，识别语音消息，生成识别后的文本信息。,2022-08-12,5000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.023231,30.278950,G3
16,第一批,深度合成,2023-06,钉钉翻译算法,深度合成,内容生成,服务提供者,钉钉科技有限公司,钉钉（APP）,应用于即时通讯场景，实现对特定语种的翻译服务，生成翻译后文本信息。,2022-08-12,5000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.023231,30.278950,G3
17,第一批,深度合成,2023-06,钉钉图像识别文字算法,深度合成,智能搜索,服务提供者,钉钉科技有限公司,钉钉（APP）,应用于即时通讯场景，提取识别图片中文字，生成提取后的文本信息。,2022-08-12,5000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.023231,30.278950,G3
18,第一批,深度合成,2023-06,钉钉智能客服算法,深度合成,人机对话,服务提供者,钉钉科技有限公司,钉钉（APP）,应用于在线智能客服场景，根据用户咨询内容，结合智能客服知识库，生成文本、图像、音频、视频等形式的回答。,2022-08-12,5000,浙江省,杭州市,余杭区,信息传输、软件和信息技术服务业,软件和信息技术服务业,软件开发,120.023231,30.278950,G4
19,第一批,深度合成,2023-06,达摩院开放域自然对话合成算法,深度合成,人机对话,服务技术支持者,阿里巴巴达摩院（杭州）科技有限公司,未回填,应用于对话生成场景，服务于智能对话类的企业端客户，利用对话意图理解、对话内容生成等技术，通过API提供对话生成功能。,2022-08-12,30007,浙江省,杭州市,余杭区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,120.023231,30.278950,G4
20,第一批,深度合成,2023-06,达摩院图像合成算法,深度合成,内容生成,服务技术支持者,阿里巴巴达摩院（杭州）科技有限公司,未回填,应用于图像生成场景，服务于图像合成类的企业端客户，通过API提供文字信息转化为图像信息的功能。,2022-08-12,30007,浙江省,杭州市,余杭区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,120.023231,30.278950,G4
21,第一批,深度合成,2023-06,达摩院交互式多能型合成算法,深度合成,内容生成,服务技术支持者,阿里巴巴达摩院（杭州）科技有限公司,未回填,应用于开放域多模态内容生成场景，服务于问答、咨询类的企业端客户，通过API提供根据用户输入生成多模态信息的功能。,2022-08-12,30007,浙江省,杭州市,余杭区,科学研究和技术服务业,科技推广和应用服务业,技术推广服务,120.023231,30.278950,G4
22,第一批,深度合成,2023-06,淘特小蜜智能客服算法,深度合成,人机对话,服务提供者,杭州拣值了电子商务有限公司,淘特（APP）,应用于智能客服场景，根据用户咨询内容，结合智能客服知识库，生成文本、图像、音频、视频等形式的回答。,2022-08-12,1000,浙江省,杭州市,余杭区,租赁和商务服务业,商务服务业,其他商务服务业,119.992205,30.276756,G3
23,第一批,深度合成,2023-06,淘宝人生表情动作复刻算法,深度合成,内容生成,服务提供者,浙江淘宝网络有限公司,手机淘宝（APP）,应用于形象图片制作场景，识别照片中人物表情动作，生成淘宝人生形象图片。,2022-08-12,6500,浙江省,杭州市,余杭区,文化、体育和娱乐业,文化艺术业,其他文化艺术业,120.022842,30.277608,G4
